"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","192","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202//lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","193","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202//lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1585/desired_rent_max/1585","text/html; charset=UTF-8","200","","","","","278","https://www.unionknoxville.com/Apartments/module/application_authentication/","https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1585/desired_rent_max/1585"
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1665/desired_rent_max/1665","text/html; charset=UTF-8","200","","","","","277","https://www.unionknoxville.com/Apartments/module/application_authentication/","https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1665/desired_rent_max/1665"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/"
